survivor,collapsed,canonical,source
W7166850939,"['W7155211817', 'W7155452028']",,
W7161121918,['W7161354024'],,
W7161702700,['W7161916677'],,
W7124426300,"['W7124513320', '2601.10198v4']",,
W7166198032,['W7166400075'],,
W7153847002,['W7153800099'],,
W7207684218,['2609.02250v1'],,
W7166884271,['W7167154065'],,
W7164202656,['W7164189046'],,
W7166850039,"['W7119495508', 'W7120272139']",,
W7160959160,['W7161092126'],,
W7154150650,['W7154427514'],,
W7133565080,['W7133521745'],,
W7138865489,"['W7128543535', 'W7128555804']",,
W7164029698,['W7164234859'],,
W7139061069,['W7139148057'],,
W7162574726,['W7147300547'],,
W7154893322,['W7154910610'],,
W7161940488,['W7162149351'],,
W7163638313,['W7163777194'],,
W7114786668,['W7114820567'],,
W7162540873,['W7162699467'],,
W7164896787,['W7165065543'],,
W7160908075,['W7161091150'],,
W7165402731,"['W7168591401', 'W7165424435']",,
W7154029922,['W7154427446'],,
W7140227643,['W7140346280'],,
W7160547168,['W7160670101'],,
W7168159628,"['W7168328906', '2607.09603v1']",,
W7162873469,"['W7162857503', 'W7159605551', 'W7159891462']",,
W7164328365,"['W7160413539', 'W7160512557', 'W7160565143']",,
W7160941764,['W7161089856'],,
W7160614481,['W7160726972'],,
W7163181016,['W7163595800'],,
W7131428765,['W7131319252'],,
W7155045682,['W7155071001'],,
W7134827956,['W7134860859'],,
W7163140343,['W7163598235'],,
W7140286459,['W7140953317'],,
W7154210451,['W7154539548'],,
W7204049455,['W7204046612'],,
W7134136570,['W7134125914'],,
W7150948673,['W7151673441'],,
W7127125425,['W7127203151'],,
W7167031124,['W7167380779'],,
W7162810933,"['W7162894231', '2605.30087v1']",,
W7116114498,['W7116210905'],,
W7134944703,['W7134992963'],,
W7126100001,['W7126123277'],,
W7140892476,"['W7138836106', '2603.24284v1']",,
W7162448080,['W7162699468'],,
W7130369262,['W7130482391'],,
W7138095028,['W4417293455'],,
W7165481416,['W7165476700'],,
W7118080457,['W7118092667'],,
W7161951393,['W7162149202'],,
W7140102748,['W7140238823'],,
W7109570019,"['W7109096867', 'W7108943637']",,
W7134939850,"['W7134910202', 'W7134893399']",,
W7129553351,['W7130236938'],,
W7164327066,"['W7147658129', 'W7148178906']",,
W7164044979,['W7164234977'],,
W7162766760,['W7162894238'],,
W7133306275,['W7133364951'],,
W7161201922,['W7161354307'],,
W7114926333,['W7114899088'],,
W7171303407,['W7171303947'],,
W7116083071,['W7116145860'],,
W7147139037,"['W7147009223', 'W7171719656']",,
W7150962868,"['W7151673077', '2604.02617v1']",,
W7155542442,['W7155561011'],,
W7172408887,['W7172559257'],,
W7159638559,['W7159891389'],,
W7196961498,['W7201914325'],,
W7168264258,['W7168434039'],,
W7128043174,['W7166643931'],,
W7163053804,['W7163057105'],,
W7172451840,['W7172559157'],,
W7133298477,['W7133363770'],,
W7154592292,['W7154789856'],,
W7166804317,"['W7154486619', 'W7154655835', '2604.12776v1']",,
W7116069326,['W7116124795'],,
W7163174640,['W7163595614'],,
W7169834506,['W7170111890'],,
W7154711690,"['W7154762200', 'W7154954189']",,
W7146966411,['W7148176659'],,
W7163994497,['W7164235508'],,
W4415952885,['2510.16392v3'],,
W7164390478,['W7164614303'],,
W7167206486,['W7167380153'],,
W7155411046,"['W7155574463', '2604.20183v2']",,
W7160919134,['W7161204463'],,
W7130856793,['W7130841798'],,
W7167092157,['W7167289504'],,
W7162780820,['W7162893192'],,
W7160493609,['W7160670314'],,
W7196942121,"['W7201914653', '2608.04574v1']",,
W7146997774,['W7148177926'],,
W7164051512,['W7164234250'],,
W7164897931,['W7165065461'],,
W7162760808,['W7162768924'],,
W7114810992,['W7114821131'],,
W7154312983,['W7154228495'],,
W7163551956,['W7163720504'],,
W7142160935,['W7141884868'],,
W7140491613,['W7141772505'],,
W7163807062,['W7163810575'],,
W7208705907,['W7208748982'],,
W7128479515,['W7128555138'],,
W7166848924,"['W7126100092', 'W7126123574']",,
W7170873136,['W7170893306'],,
W7168949306,['W7169633000'],,
W7141076536,['W7141174868'],,
W7131294212,['W7131319889'],,
W7203670914,['W7203721151'],,
W7132832090,"['W7132819739', 'W7171628839']",,
W7106116717,['W7106166110'],,
W7133334209,['W7133363582'],,
W7165650885,"['W7160427469', 'W7160565519']",,
W7161553010,['W7161655500'],,
W7151250814,['W7152331192'],,
W7127392264,['W7127417520'],,
W7203488426,['W7203497283'],,
W7163067100,['W7163008269'],,
W7165002424,['W7165218186'],,
W4416933454,['2512.00332v2'],,
W7165690502,['W7165816324'],,
W7163682590,['W7163659070'],,
W7170451560,['W7169856975'],,
W7128680838,['W7128865155'],,
W7138004636,['W7139146889'],,
W7172391703,['W7172443288'],,
W7161141780,['W7161113955'],,
W7140297379,"['W7140291102', 'W7140161335', 'W7140192434', 'W7140200860', 'W7140168068', 'W7140226694']",,
W7168102196,"['W7161728729', 'W7161917033']",,
W7156795359,['W7165746586'],,
W7165665211,['W7165816075'],,
W7148322386,['W7148440641'],,
W7127562245,['W7127627176'],,
W7153708035,['W7153847895'],,
W7164155802,['W7164446639'],,
W7166307465,['W7166324079'],,
W4416339573,['W7147371763'],,
W7154717633,['W7154694701'],,
W7169866526,['W7164527829'],,
W7131216688,['W7131319640'],,
W7168033995,"['W7167718784', 'W7167684866']",,
W7128054756,"['W7127991190', 'W7128067263']",,
W7157260422,['W7158422965'],,
W7163145244,['W7163595673'],,
W7168385577,"['W7169569340', 'W7169689124']",,
W7106659681,['W7106783335'],,
W7135040267,"['W7151357158', 'W7150817497', 'W7160629565', 'W7140141451']",,
W7164742792,['W7164761280'],,
W7153630799,['W7153617950'],,
W7125123239,['W7125351485'],,
W7164575374,"['W7164591273', 'W7164566939']",,
W7169861844,['W7170112429'],,
W7165791658,['W7165807835'],,
W7161698945,['W7161915894'],,
W7203452348,['W7203449184'],,
W7161949754,['W7162150079'],,
W7117251765,['W7117277299'],,
W7106815335,['W7106862944'],,
W7125799363,['W7125850170'],,
W7128691321,"['W7128745095', '2602.10758v1']",,
W7155158875,['W7155451892'],,
W7160151109,['W7168407265'],,
W7158958710,['W7158681596'],,
W7125904595,['W7126001918'],,
W7201894114,['W7202006370'],,
W7160985407,['W7161204462'],,
W7171706489,['W7161683629'],,
W7162325420,['W7162475079'],,
W7139947844,['W7139941502'],,
W7135078739,"['W7139929465', 'W7135016122']",,
W7106819326,['W7106855218'],,
W7167095206,['W7167289858'],,
W7138394134,"['W7139144154', '2603.15518v1']",,
W7123780807,['W7124117232'],,
W7127422397,['W7127276698'],,
W7159628308,['W7138290571'],,
W7160505137,['W7160670721'],,
W7134033780,['W7134048219'],,
W7155181971,['W7155187206'],,
W7164210954,['W7164446663'],,
W7153762197,['W7153877197'],,
W7155207333,['W7155172988'],,
W7118934407,['W7119233504'],,
W7128018227,['W7131867119'],,
W7133338599,['W7133363931'],,
W7160292630,['W7160313562'],,
W7167257198,"['W7167380339', '2607.02345v1']",,
W7133673890,['W7133945411'],,
W7134897346,['W7134964492'],,
W7124431554,['W7124513647'],,
W7161994700,['W7160763628'],,
W7165028866,['W7165218258'],,
W7127379516,"['W7127295865', 'W7127340267']",,
W7211872020,['W7211868401'],,
W7134940686,['W7134992403'],,
W7154187776,"['W7154082429', 'W7153469916']",,
W7167687764,['W7167715524'],,
W7118371590,['W7119152500'],,
W7150933622,['W7151673082'],,
W7118734269,['W7119233244'],,
W7172437796,['W7172558178'],,
W7168622561,['W7169633263'],,
W7153126684,['W7153242475'],,
W7160430643,['W7160377802'],,
W7167599348,"['W7167747075', '2607.02802v1']",,
W7154170311,['W7154427371'],,
W7171713986,['W7171720640'],,
W7154623396,['W7154569876'],,
W7204182663,['W7204164067'],,
W7154700579,['W7154759360'],,
W7150349517,['W7150113123'],,
W7106700746,['W7106782378'],,
W7151621517,['W7151299192'],,
W7118867054,['W7119224150'],,
W7160753749,['W7160761937'],,
W7162856946,['W7162858254'],,
W7107953207,['W7107942568'],,
W7168084282,['W7168092028'],,
W7168288293,['W7168432735'],,
W7154970340,['W7155245703'],,
W7147331182,['W7146946714'],,
W7147205948,['W7147047234'],,
W7169893031,['W7170112943'],,
W7169049144,['W7168580064'],,
W7160946685,['W7161039382'],,
W7154046253,['W7154055151'],,
W7167269801,['W7167423693'],,
W7167357394,"['W7166747406', 'W7167363742']",,
W7147330063,['W7147738710'],,
W7171301362,['W7171322993'],,
W7136042504,['W7136069218'],,
W7147075297,['W7147008868'],,
W7139977693,['W7139996361'],,
W7136062507,['W7136075807'],,
W7141512046,['W7141162103'],,
W7171664774,['W7171624505'],,
W7153710421,['W7153726671'],,
W7165475993,['W7165484522'],,
W7125699595,['W7125692794'],,
W7154596441,['W7159975872'],,
W7167622479,['W7167631897'],,
W7135402647,['W7135414599'],,
W7147483643,['W7147191120'],,
W7147169730,['W7147028412'],,
W7164735169,['W7165476566'],,
W7171875406,['W7171767950'],,
W7162674281,['W7162673780'],,
W7135098194,['W7135094870'],,
W7151054206,['W7150921206'],,
W7164358339,"['W7162560271', 'W7164663297']",,
W7164478728,['W7164666512'],,
W7172546710,['W7172487247'],,
W7153847768,"['W7160535257', 'W7153510957']",,
W7171368377,['W7171370705'],,
W7135219986,['W7135168452'],,
W7203875062,['W7203872541'],,
W7201890070,['W7201869856'],,
W7203932008,['W7203893148'],,
W7172381952,['W7172427830'],,
W7164996733,"['W7165218841', '2606.17246v1']",,
W7147532164,['W7147523236'],,
W7171997205,['W7172173254'],,
W4404792974,"['W4399795024', '2406.11277v1']",,
W4413461262,"['W4416501359', '2506.22486v1']",,
W4402669719,"['W4406074036', '2407.16565v1']",,
W4413364502,"['W4406779159', 'W4410225715', '2501.12746v4']",,
W4399837065,['2406.12295v2'],,
W7150841257,['W7152677759'],,
W7163413082,['W7163333540'],,
W7164490715,"['W7164399416', 'W7164309474', 'W7164514850']",,
W7119190796,"['W7119234330', '2601.01378v1']",,
W7128367982,['W7128389941'],,
W7128241486,['W7128219137'],,
W7161391770,"['W7162959601', 'W7161377449', 'W7161395336', 'W7162938530']",,
W7167807626,['W7167844004'],,
W7140290941,['W7140298747'],,
W7162200028,['W7162211482'],,
W7120242674,"['W7120272193', '2601.04212v1']",,
W7165619469,"['W7165817849', '2606.21460v1']",,
W7160839495,['W7160853224'],,
W7162041557,['W7163540210'],,
W7131311947,"['W7131319451', '2602.18583v1']",,
W7160375610,"['W7160565008', '2605.03312v1']",,
W4415154596,['2504.09071v2'],,
W7202354494,['2608.11596v1'],,
W7159113317,"['W7158548416', 'W7166735438']",,
W7151627296,"['W7152330620', '2604.04651v1']",,
W7160512254,['W7160507894'],,
W4415338117,['2509.25494v1'],,
W7134078533,"['W7134093524', '2603.05308v3']",,
W7127948667,['W7127946507'],,
W7161123187,"['W7133328361', 'W7133365321', '2603.00846v1']",,
W7167917326,['W7167926723'],,
W4415340127,['2507.04432v1'],,
W7151454351,"['W7152330630', '2604.03589v1']",,
W7117292983,"['W7117339528', '2512.21280v1']",,
W7106378791,['W7106298623'],,
W7166813367,"['W7151774376', 'W7152933391', '2604.05875v1']",,
W4414786495,['2505.00831v6'],,
W7167621528,"['W7167749368', '2607.04290v1']",,
W7169767601,['W7169788568'],,
W7160619281,"['W7160726727', '2605.05532v1']",,
W7167586484,"['W7167747954', '2607.05199v1']",,
W7134841536,"['W7134860042', '2603.07091v1']",,
W4402698827,['2408.12748v1'],,
W7140121730,"['W7138935367', 'W7139147607', '2603.16045v1']",,
W7162694722,"['W7162817734', '2605.27596v1']",,
W7125868468,"['W7125878555', '2601.17687v2']",,
W4388748508,['2311.09214v3'],,
W4401023477,['2409.11055v6'],,
W4409050134,['2503.20757v2'],,
W4403883918,['2410.02426v1'],,
W7154218890,"['W7154539842', '2604.09952v1']",,
W7163162275,"['W7163595061', '2606.00462v1']",,
W7168299475,['W7168280902'],,
W7106692103,['W7106782868'],,
W7162798415,"['W7172121862', 'W7162893984', '2605.28837v1']",,
W4414384736,['2507.15875v1'],,
W4401201838,['2407.19524v3'],,
W7148219345,['W7207072103'],,
W4415442763,['W4415442781'],,
W7169842575,['W7169863056'],,
W7136332260,['W7136286210'],,
W4415598957,"['W4415036833', '2505.21109v1']",,
W7135372947,['W7135379451'],,
W7142792036,"['W7142699620', 'W7142618422']",,
W7119472798,"['W7119557702', '2601.03874v1']",,
W7170061791,"['W7170225174', '2607.18268v1']",,
W7163588867,['W7134980546'],,
W7156105136,['W7156095204'],,
W7159571928,"['W7159891725', '2604.26961v2']",,
W4416618351,['2510.20151v2'],,
W7140125440,"['W7124169992', 'W7124227541', '2601.08500v1']",,
W4403885718,['2410.03137v1'],,
W7167723865,['W7167855210'],,
W4407571361,['2502.08903v1'],,
W7163349212,['2606.02951v1'],,
W7116754533,['W7116794596'],,
W7161473671,['W7161501202'],,
W7165142544,['W7160138990'],,
W7134931434,"['W7134972207', 'W7134984771', 'W7134921645']",,
W7147337465,['W7147293209'],,
W7154139795,['W7154094508'],,
W4416808692,['W4411728051'],,
W7165405436,['2605.19229v1'],,
W7204050445,['W7204024609'],,
W7142888003,['W7142880965'],,
W7147494510,['W7146955048'],,
W7147645578,['W7147320605'],,
W7161952888,['W7171472400'],,
W4415679924,['W4414462395'],,
W4415417899,['W4415417732'],,
W4415417807,['W4415417838'],,
W4414360336,['W4416011594'],,
W7124265481,['W7127931400'],,
W7148250201,['W7134937168'],,
W4403210794,['W4398795098'],,
W7154447624,['W7154452983'],,
W7169760713,['W7169774233'],,
W7130603427,['W7130489850'],,
W7162077705,['W7162219413'],,
W7104794680,['W7104714041'],,
W7135231172,['W7135428861'],,
W7163875736,['W7164090397'],,
W7130346023,['W7130319957'],,
W7165493391,['W7165481281'],,
W7154691926,['W7154699230'],,
W7166829810,"['W7154719965', 'W7154865453']",,
W7161596873,['W7161915526'],,
W7158888898,['W7159734092'],,
W7167899826,['W7168054396'],,
W7115682607,['W7115721386'],,
W7154471442,"['W7167091247', 'W7154486263']",,
W7147615918,['W7147134316'],,
W7203493290,['W7203465594'],,
W7172510293,['W7172489967'],,
W7160291157,['W7160458178'],,
W7161967520,['W7172451788'],,
W7167264378,"['W7167037283', 'W7167271023']",,
W7167225899,['W7167031375'],,
W7201864596,['W7202006255'],,
W7168244590,['W7168432974'],,
W7123257600,['W7123371405'],,
W7166766274,['W7166730288'],,
W7161590944,['W7161655675'],,
W7160841715,['W7161591980'],,
W7167483460,"['W7168213735', 'W7167501295', 'W7168169192', 'W7167834158']",,
W7203667916,['W7203712466'],,
W7108751687,['W7108630357'],,
W7147097187,['W7148176243'],,
W7130433438,['W7130309134'],,
W7204161519,['2608.22917v1'],,
W7148240433,['W7149030557'],,
W7160759037,['W7160753314'],,
W7203949149,['W7203855662'],,
W7168139736,['W7168211655'],,
W7165452240,['W7165459237'],,
W7167573778,"['W7167408636', 'W7166301071']",,
,S0505,S0001,dedup_final_v1.8b
,S0530,S0002,dedup_final_v1.8b
,S0344,S0004,dedup_final_v1.8b
,S0564,S0005,dedup_final_v1.8b
,S0557,S0006,dedup_final_v1.8b
,S0507,S0008,dedup_final_v1.8b
,S0407,S0009,dedup_final_v1.8b
,S0385,S0010,dedup_final_v1.8b
,S0422,S0016,dedup_final_v1.8b
,S0401,S0017,dedup_final_v1.8b
,S0331,S0018,dedup_final_v1.8b
,S0388,S0019,dedup_final_v1.8b
,S0400,S0020,dedup_final_v1.8b
,S0424,S0021,dedup_final_v1.8b
,S0553,S0022,dedup_final_v1.8b
,S0546,S0023,dedup_final_v1.8b
,S0415,S0029,dedup_final_v1.8b
,S0504,S0032,dedup_final_v1.8b
,S0512,S0033,dedup_final_v1.8b
,S0515,S0034,dedup_final_v1.8b
,S0436,S0035,dedup_final_v1.8b
,S0538,S0038,dedup_final_v1.8b
,S0506,S0039,dedup_final_v1.8b
,S0588,S0041,dedup_final_v1.8b
,S0459,S0042,dedup_final_v1.8b
,S0428,S0043,dedup_final_v1.8b
,S0518,S0045,dedup_final_v1.8b
,S0405,S0046,dedup_final_v1.8b
,S0443,S0053,dedup_final_v1.8b
,S0402,S0054,dedup_final_v1.8b
,S0411,S0056,dedup_final_v1.8b
,S0395,S0066,dedup_final_v1.8b
,S3364,S0067,dedup_final_v1.8b
,S4331,S0070,dedup_final_v1.8b
,S3966,S0073,dedup_final_v1.8b
,S0484,S0081,dedup_final_v1.8b
,S0432,S0083,dedup_final_v1.8b
,S0397,S0084,dedup_final_v1.8b
,S0444,S0085,dedup_final_v1.8b
,S0412,S0088,dedup_final_v1.8b
,S0381,S0089,dedup_final_v1.8b
,S0461,S0090,dedup_final_v1.8b
,S6862,S0090,dedup_final_v1.8b
,S0547,S0092,dedup_final_v1.8b
,S0430,S0102,dedup_final_v1.8b
,S0521,S0103,dedup_final_v1.8b
,S0409,S0107,dedup_final_v1.8b
,S0479,S0108,dedup_final_v1.8b
,S0398,S0112,dedup_final_v1.8b
,S0456,S0113,dedup_final_v1.8b
,S0457,S0114,dedup_final_v1.8b
,S3662,S0116,dedup_final_v1.8b
,S0433,S0118,dedup_final_v1.8b
,S0366,S0122,dedup_final_v1.8b
,S0419,S0123,dedup_final_v1.8b
,S0539,S0126,dedup_final_v1.8b
,S0420,S0129,dedup_final_v1.8b
,S0489,S0132,dedup_final_v1.8b
,S0414,S0134,dedup_final_v1.8b
,S0404,S0136,dedup_final_v1.8b
,S0396,S0137,dedup_final_v1.8b
,S0376,S0142,dedup_final_v1.8b
,S0519,S0145,dedup_final_v1.8b
,S0529,S0146,dedup_final_v1.8b
,S0454,S0147,dedup_final_v1.8b
,S0542,S0148,dedup_final_v1.8b
,S0426,S0149,dedup_final_v1.8b
,S0441,S0150,dedup_final_v1.8b
,S0448,S0152,dedup_final_v1.8b
,S0566,S0153,dedup_final_v1.8b
,S3095,S0165,dedup_final_v1.8b
,S10462,S0193,dedup_final_v1.8b
,S11192,S0257,dedup_final_v1.8b
,S0307,S1484,dedup_final_v1.8b
,S0309,S1730,dedup_final_v1.8b
,S0310,S0700,dedup_final_v1.8b
,S1406,S1404,dedup_final_v1.8b
,S0312,S1404,dedup_final_v1.8b
,S0321,S1250,dedup_final_v1.8b
,S0322,S1615,dedup_final_v1.8b
,S2078,S2072,dedup_final_v1.8b
,S0324,S2072,dedup_final_v1.8b
,S0327,S2248,dedup_final_v1.8b
,S0334,S2029,dedup_final_v1.8b
,S0336,S2117,dedup_final_v1.8b
,S0338,S2636,dedup_final_v1.8b
,S0339,S2327,dedup_final_v1.8b
,S0346,S1230,dedup_final_v1.8b
,S0350,S1924,dedup_final_v1.8b
,S0352,S0970,dedup_final_v1.8b
,S0353,S1348,dedup_final_v1.8b
,S0355,S0601,dedup_final_v1.8b
,S0356,S1442,dedup_final_v1.8b
,S0359,S1128,dedup_final_v1.8b
,S0361,S1736,dedup_final_v1.8b
,S0362,S1097,dedup_final_v1.8b
,S0365,S2722,dedup_final_v1.8b
,S0372,S0755,dedup_final_v1.8b
,S0375,S0735,dedup_final_v1.8b
,S0377,S1199,dedup_final_v1.8b
,S0379,S2334,dedup_final_v1.8b
,S0380,S0576,dedup_final_v1.8b
,S0382,S1116,dedup_final_v1.8b
,S0384,S2505,dedup_final_v1.8b
,S0390,S0585,dedup_final_v1.8b
,S0393,S2196,dedup_final_v1.8b
,S0394,S2052,dedup_final_v1.8b
,S0399,S1383,dedup_final_v1.8b
,S0406,S1703,dedup_final_v1.8b
,S1139,S1136,dedup_final_v1.8b
,S0413,S1136,dedup_final_v1.8b
,S0418,S1989,dedup_final_v1.8b
,S0421,S1701,dedup_final_v1.8b
,S0423,S1244,dedup_final_v1.8b
,S0425,S1126,dedup_final_v1.8b
,S0434,S1871,dedup_final_v1.8b
,S1103,S1000,dedup_final_v1.8b
,S1105,S1000,dedup_final_v1.8b
,S0438,S1000,dedup_final_v1.8b
,S0440,S0714,dedup_final_v1.8b
,S1837,S1834,dedup_final_v1.8b
,S0451,S1834,dedup_final_v1.8b
,S0452,S1661,dedup_final_v1.8b
,S0467,S1275,dedup_final_v1.8b
,S0477,S0713,dedup_final_v1.8b
,S0487,S1977,dedup_final_v1.8b
,S0495,S1022,dedup_final_v1.8b
,S0496,S1377,dedup_final_v1.8b
,S12126,S0497,dedup_final_v1.8b
,S0500,S0725,dedup_final_v1.8b
,S0501,S0848,dedup_final_v1.8b
,S0502,S0597,dedup_final_v1.8b
,S0510,S0849,dedup_final_v1.8b
,S3097,S0516,dedup_final_v1.8b
,S1108,S0917,dedup_final_v1.8b
,S0517,S0917,dedup_final_v1.8b
,S0520,S1363,dedup_final_v1.8b
,S0996,S0865,dedup_final_v1.8b
,S0522,S0865,dedup_final_v1.8b
,S0523,S2035,dedup_final_v1.8b
,S0525,S1549,dedup_final_v1.8b
,S0526,S2169,dedup_final_v1.8b
,S0527,S0768,dedup_final_v1.8b
,S0533,S0701,dedup_final_v1.8b
,S0534,S0895,dedup_final_v1.8b
,S3620,S0536,dedup_final_v1.8b
,S0554,S1402,dedup_final_v1.8b
,S0561,S0691,dedup_final_v1.8b
,S0563,S0703,dedup_final_v1.8b
,S0565,S1810,dedup_final_v1.8b
,S2939,S0582,dedup_final_v1.8b
,S2940,S0591,dedup_final_v1.8b
,S0611,S0610,dedup_final_v1.8b
,S3089,S0625,dedup_final_v1.8b
,S3090,S0637,dedup_final_v1.8b
,S3093,S0647,dedup_final_v1.8b
,S2639,S0710,dedup_final_v1.8b
,S0773,S0745,dedup_final_v1.8b
,S0803,S0756,dedup_final_v1.8b
,S0783,S0781,dedup_final_v1.8b
,S1001,S0869,dedup_final_v1.8b
,S0978,S0877,dedup_final_v1.8b
,S1060,S0902,dedup_final_v1.8b
,S0915,S0914,dedup_final_v1.8b
,S0938,S0936,dedup_final_v1.8b
,S0962,S0953,dedup_final_v1.8b
,S0980,S0975,dedup_final_v1.8b
,S0989,S0987,dedup_final_v1.8b
,S1007,S1005,dedup_final_v1.8b
,S1021,S1018,dedup_final_v1.8b
,S1020,S1019,dedup_final_v1.8b
,S1029,S1027,dedup_final_v1.8b
,S1070,S1069,dedup_final_v1.8b
,S1077,S1076,dedup_final_v1.8b
,S1089,S1090,dedup_final_v1.8b
,S2011,S1133,dedup_final_v1.8b
,S1181,S1180,dedup_final_v1.8b
,S3469,S1205,dedup_final_v1.8b
,S3507,S1212,dedup_final_v1.8b
,S1267,S1216,dedup_final_v1.8b
,S3542,S1269,dedup_final_v1.8b
,S3747,S1271,dedup_final_v1.8b
,S3644,S1284,dedup_final_v1.8b
,S1287,S1286,dedup_final_v1.8b
,S1384,S1334,dedup_final_v1.8b
,S1370,S1369,dedup_final_v1.8b
,S1388,S1386,dedup_final_v1.8b
,S3430,S1394,dedup_final_v1.8b
,S5611,S1400,dedup_final_v1.8b
,S4263,S1431,dedup_final_v1.8b
,S3428,S1439,dedup_final_v1.8b
,S1456,S1455,dedup_final_v1.8b
,S1481,S1480,dedup_final_v1.8b
,S1592,S1519,dedup_final_v1.8b
,S1807,S1551,dedup_final_v1.8b
,S1725,S1557,dedup_final_v1.8b
,S1926,S1599,dedup_final_v1.8b
,S1629,S1628,dedup_final_v1.8b
,S1644,S1640,dedup_final_v1.8b
,S1655,S1654,dedup_final_v1.8b
,S1664,S1662,dedup_final_v1.8b
,S1693,S1687,dedup_final_v1.8b
,S1706,S1710,dedup_final_v1.8b
,S1767,S1755,dedup_final_v1.8b
,S1775,S1770,dedup_final_v1.8b
,S1789,S1787,dedup_final_v1.8b
,S1802,S1801,dedup_final_v1.8b
,S1813,S1812,dedup_final_v1.8b
,S1840,S1838,dedup_final_v1.8b
,S1851,S1848,dedup_final_v1.8b
,S1864,S1863,dedup_final_v1.8b
,S1913,S1905,dedup_final_v1.8b
,S1939,S1914,dedup_final_v1.8b
,S4593,S1927,dedup_final_v1.8b
,S1985,S1969,dedup_final_v1.8b
,S2004,S1991,dedup_final_v1.8b
,S2037,S1997,dedup_final_v1.8b
,S2009,S2002,dedup_final_v1.8b
,S2027,S2024,dedup_final_v1.8b
,S2076,S2063,dedup_final_v1.8b
,S2079,S2066,dedup_final_v1.8b
,S2083,S2081,dedup_final_v1.8b
,S2133,S2131,dedup_final_v1.8b
,S2149,S2148,dedup_final_v1.8b
,S2151,S2150,dedup_final_v1.8b
,S2212,S2210,dedup_final_v1.8b
,S2245,S2243,dedup_final_v1.8b
,S2244,S2247,dedup_final_v1.8b
,S2284,S2283,dedup_final_v1.8b
,S2307,S2304,dedup_final_v1.8b
,S2309,S2308,dedup_final_v1.8b
,S2367,S2329,dedup_final_v1.8b
,S2411,S2410,dedup_final_v1.8b
,S2421,S2420,dedup_final_v1.8b
,S10027,S2435,dedup_final_v1.8b
,S2452,S2451,dedup_final_v1.8b
,S2950,S2479,dedup_final_v1.8b
,S2982,S2495,dedup_final_v1.8b
,S2499,S2497,dedup_final_v1.8b
,S10032,S2517,dedup_final_v1.8b
,S2523,S2522,dedup_final_v1.8b
,S2534,S2532,dedup_final_v1.8b
,S2557,S2535,dedup_final_v1.8b
,S10056,S2535,dedup_final_v1.8b
,S10043,S2541,dedup_final_v1.8b
,S10048,S2548,dedup_final_v1.8b
,S2574,S2573,dedup_final_v1.8b
,S2579,S2578,dedup_final_v1.8b
,S2601,S2583,dedup_final_v1.8b
,S2809,S2706,dedup_final_v1.8b
,S2802,S2711,dedup_final_v1.8b
,S2918,S2766,dedup_final_v1.8b
,S2823,S2822,dedup_final_v1.8b
,S2833,S2831,dedup_final_v1.8b
,S2854,S2853,dedup_final_v1.8b
,S2882,S2867,dedup_final_v1.8b
,S7768,S7229,dedup_final_v1.8b
