stage_id,h2_q1,h2_q1_ev,h2_q2,h2_q2_ev,h2_q3,h2_q3_ev,q1_agree,q2_agree,q3_agree,pass2_used,h2_status,final_class,final_basis,title,year,venue,search_id
S1110,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),From Relevance to Utility: Faith-Rank for Utility-Driven Evidence Re-ranking and Reliable Answering in Retrieval-Augmented Generation,2026,Machine Learning,OA_q30
S1131,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 unsure, q1 no/unsure)",HIERARCHRAG: A Three-Layer Hierarchical Knowledge Graph for Provenance-Aware Retrieval-Augmented Generation,2026,SSRN Electronic Journal,OA_q30
S1143,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Ontology Poisoning in Military AI Fusion Systems: Attack Vectors Against Palantir-Class Architectures,2026,SSRN Electronic Journal,OA_q30
S1164,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),"Vision language model-enhanced embodied intelligence for AR-assisted HRC assembly: Multimodal cognition, task reasoning, and autonomous execution",2026,Journal of Manufacturing Systems,OA_q30
S1165,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),PedAgent: A Large Language Model empowered intelligent agent for derivingcrowd safety enhancement policies in the pedestrian traffic system,2026,SSRN Electronic Journal,OA_q30|OA_q34
S1168,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),LAE-Bench: A Benchmark for Assessing Large Language Model Decision-Making Capabilities and Safety Boundaries in Unmanned Traffic Management,2026,SSRN Electronic Journal,OA_q30
S1172,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),CausalPrime: A Constraint-Oriented Runtime Middleware for Structure-Preserving Mapping under Non-Closure Conditions,2026,SSRN Electronic Journal,OA_q30
S1197,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),"A Comprehensive Survey on Multi-Agent Cooperative Decision-Making: Scenarios, Approaches, Challenges and Perspectives",2025,SSRN Electronic Journal,AX_q3|OA_q32
S1198,no,,no,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),"Large language models and AI agents in disaster-resilient infrastructure: concepts, applications, pathways, and challenges",2026,Reliability Engineering & System Safety,OA_q32
S1199,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),A LLM-based agent for the construction of typhoon knowledge graphs,2026,Environmental Modelling & Software,OA_q32|SCOPUS_S2
S1220,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 unsure, q1 unsure)",Socio-technical regional disaster recovery modelling using generative LLM-based agents and physics-based models,2025,SSRN Electronic Journal,OA_q32
S1228,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),A decision-making framework by large language model for green tide salvage ship scheduling,2025,Expert Systems with Applications,OA_q32|OA_q33
S1237,no,,unsure,LLM-empowered agents for lifeline network recovery with graph-guided MCP tools,no,lifeline network recovery,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),LLM-empowered agents for lifeline network recovery with graph-guided MCP tools,2026,Sustainable Cities and Society,OA_q32
S1244,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Cooperative task scheduling and resource allocation of embodied multi-satellite systems: AI-driven perspective,2026,Science China Technological Sciences,OA_q32|SCOPUS_S2
S1252,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),LLM-Guided Reinforcement Learning for Dynamic Navigation: Characterizing the Benefits and Limits of Language Assistance in a Fire Disaster Scenario,2026,Mechanisms and machine science,OA_q32
S1254,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure): The abstract does not provide specific details about the model class, agentic architecture, or domain framing.",From Chat to Decision: a language-orchestrated and physics-grounded reasoning agent for infrastructure disaster resilience assessment and recovery decision support,2026,Advanced Engineering Informatics,OA_q32
S1257,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",From Chat to Action: a language-orchestrated and physics-constrained reasoning agent for automated disaster resilience assessment and recovery decision support of infrastructure,2026,SSRN Electronic Journal,OA_q32
S1277,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),"From the Garden of Gartner to the Inevitable Implosion of LLM Credentialism: A Comprehensive Analysis of Pseudo -Technical Labor Markets, Credential Inflation, and the Coming Collapse",2026,SSRN Electronic Journal,OA_q32
S1280,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",Agentic AI-driven digital twin system for autonomous urban flood monitoring,2025,SSRN Electronic Journal,OA_q32|OA_q33|OA_q48
S1312,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Vision-and-Language Navigation for Human–Robot Collaboration: A Comprehensive Survey,2026,SSRN Electronic Journal,OA_q32
S1321,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),"A Survey on Multi-Robot Collaboration and Communication: Taxonomy, Challenges, and Future Directions",2026,SSRN Electronic Journal,OA_q32
S1332,no,LLM and Physics_GNN,yes,Proactive decision-making agent,yes,industrial leakage and explosion emergencies,,,,False,RESOLVED_TRIPLE_PASS,INCLUDE_partial_BC_PENDING,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",Proactive decision-making agent for industrial leakage and explosion emergencies powered by Physics_GNN and LLM,2026,Journal of Loss Prevention in the Process Industries,OA_q33|OA_q48
S1333,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING: The abstract is empty, providing no information to classify any axis.",Enhancing Emergency Decision Making Through Risk Quantification and Action Adjustment of Human-Llm Dual Agents,2024,SSRN Electronic Journal,OA_q33
S1336,no,,yes,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Large-language-model-driven agents for fire evacuation simulation in a cellular automata environment,2025,Safety Science,OA_q33
S1340,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Synergizing Augmented Reality and Llms for Advanced Cognitive Support in Emergency Audio Communications,2024,SSRN Electronic Journal,OA_q33
S1341,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING: q2 and q3 are unsure, q1 is no/unsure",MAGDA: Multi-agent Guideline-Driven Diagnostic Assistance,2024,Lecture notes in computer science,AX_q3|OA_q33
S1353,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),AI counseling agent for motivational interviewing: Conversational processes associated with change talk in emergency department patients,2026,Journal of Substance Use and Addiction Treatment,OA_q33
S1357,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_AC (q1+q3 yes, q2 no) or full_ABC (all yes) or EXCLUDE (q3 no) — insufficient evidence to determine model class, agentic architecture, or domain framing",Advance LLM-based Model-Context-Protocol and Agent to Agent Protocol for Child Medical Emergency,2025,,OA_q33
S1360,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),HumanSim: Human-Like Multi-agent Novel Driving Simulation for Corner Case Generation,2025,Lecture notes in computer science,OA_q33
S1373,no,,yes,,yes,,,,,False,RESOLVED_TRIPLE_PASS,INCLUDE_partial_BC_PENDING,EXCLUDE (q3 no),Guidance Strategies for Online Public Opinion in Emergencies Based on LLM- enhanced Multi-agent Simulation: A Case Study of the Pangdonglai Steamed Cold Noodle Event,2026,,OA_q33
S1374,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Incorporating vision-based artificial intelligence and large language model for smart traffic light control,2025,Applied Soft Computing,OA_q33
S1380,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),When Agentic LLMs Trust Poisoned Tools: Vulnerability of Clinical LLMs to Adversarial Guidelines,2026,Research Square,OA_q33|OA_q48
S1387,no,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),EDSim: An Agentic Simulator for Emergency Department Operations,2026,Research Square,OA_q33
S1391,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_AC_PENDING (q1 and q3 unsure, q2 no)",Neurosymbolic Multi-Layer LLM vs Unimodal LLMs and Human Specialists in Acute Aortic Dissection: A MIMIC-IV Emergency Department Cohort Study,2026,SSRN Electronic Journal,OA_q33
S1393,no,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),AdventureAgent: Proactive Cognitively-Enhanced LLM Agent for Trekking Safety,2026,Communications in computer and information science,OA_q33|OA_q48
S1401,no,,yes,A Role-Locked Multi-Agent LLM System for Clinical Dialogue,no,Clinical Dialogue,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),"Title: ""A Role-Locked Multi-Agent LLM System for Clinical Dialogue: A Feasibility Study”",2026,SSRN Electronic Journal,OA_q33|OA_q36
S1413,no,,unsure,CALM: A Workload-Aware Agent for Mitigating Workload Transition Risks in Aviation Emergencies,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_AC (q1+q3 yes, q2 no)",CALM: A Workload-Aware Agent for Mitigating Workload Transition Risks in Aviation Emergencies,2026,SSRN Electronic Journal,OA_q33
S1416,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),PhenoAgent: agentic LLM framework for phenotyping electronic health records via structured query decomposition and self-correction,2026,Research Square,OA_q33
S1419,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),"Demonstrating the Potential of LLMs for Dynamic, Multimodal Clinical Decision-Making",2026,SSRN Electronic Journal,OA_q33
S1432,no,,unsure,,yes,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",An LLM-Driven Simulation Framework for Intelligent Decision-Making in Collaborative Aerial Firefighting with Heterogeneous Aircraft,2025,SSRN Electronic Journal,OA_q33
S1435,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_AC (q1+q3 yes, q2 no) or partial_BC_PENDING (q2+q3 yes, q1 no/unsure) or EXCLUDE (q3 no) — insufficient information to determine model class, architectural complexity, or domain specificity",Speech-Driven Medical Emergency Decision-Support Systems in Constrained Environments,2025,Engineering cyber-physical systems and critical infrastructures,OA_q33
S1446,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Language-Grounded Hierarchical Reinforcement Learning for Semantic Emergency Vehicle Coordination in Mixed Traffic,2026,International Journal of Intelligent Transportation Systems Research,OA_q33|OA_q34|OA_q48
S1448,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Clinical agents fail silently on patient identity,2026,International Journal of Medical Informatics,OA_q33
S1458,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Agent Model Based on Large Language Model as a Pathway to General Artificial Intelligence in Revolutionizing Crowd Dynamics Research,2025,SSRN Electronic Journal,OA_q33
S1461,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Agentic AI for National Resilience: A Framework for Autonomous Information Verification in Critical Infrastructure,2026,SSRN Electronic Journal,OA_q33
S1467,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING: The abstract is missing, so no evidence to classify any axis.",Neurosymbolic Multi-Agent Artificial Intelligence versus General-Purpose Large Language Models for Clinical Decision Support in Ileus and Volvulus,2026,Research Square,OA_q33|OA_q48
S1468,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 unsure, q1 no/unsure)","Collaborative Fire Management for Community Wildfire Prevention Using Agentic AI, Simulation, and Mixed-Reality Visualization",2025,SSRN Electronic Journal,OA_q33
S1476,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Neurosymbolic Multi-Agent Large Language Model System Versus Specialist Physicians in COPD and Asthma Management: A Comparative Performance Evaluation Using Guideline-Based Clinical Vignettes,2026,Research Square,OA_q33|OA_q36
S1484,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),A survey of large language models for urban traffic signal control,2026,Expert Systems with Applications,OA_q33|OA_q48|SCOPUS_S2
S1498,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),AML-1393: Automated Extraction of Adverse Events Reveals Relationship Between HMA/Venetoclax Cycle Duration and Symptom Burden,2026,Clinical Lymphoma Myeloma & Leukemia,OA_q33
S1521,no,,unsure,LLM-based multi-agent task planning,no,human-robot collaborative assembly balancing operator experience and efficiency,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),LLM-based multi-agent task planning for human-robot collaborative assembly balancing operator experience and efficiency,2025,Journal of Manufacturing Systems,OA_q34
S1526,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Multi-agent large language models as evolutionary optimizers for scheduling optimization,2025,Computers & Industrial Engineering,OA_q34
S1561,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING: q2 and q3 are unsure, q1 is no/unsure",Interdisciplinary Co-design with LLM-Based Multi-agents: A Human-AI Platform for Complex Design Challenges,2025,Lecture notes in computer science,OA_q34
S1568,no,,yes,LLM-Empowered multi-Agent reinforcement learning,no,Personalized dynamic lighting via LLM-Empowered multi-Agent reinforcement learning,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Personalized dynamic lighting via LLM-Empowered multi-Agent reinforcement learning: From user intent to photometric control,2026,Expert Systems with Applications,OA_q34
S1569,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Exploring LLM Agents for Simulating Conflict Events,2025,TU/e Research Portal,OA_q34
S1570,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),Ethical and Technical Challenges in the European Conflict Resolution Project: The Role of Equitative Algorithm (CREA3),2025,Lecture notes on data engineering and communications technologies,OA_q34
S1578,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Automatically resolving conflicts between expert systems: An experimental approach using large language models and fuzzy cognitive maps from participatory modeling studies,2025,Knowledge-Based Systems,OA_q34
S1584,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Reliability-aware dynamic graph fusion and LLM-based diagnostic assistant for bearing faults,2026,Advanced Engineering Informatics,OA_q34
S1591,no,,yes,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Simulating Ideological Deadlock: Persona Stability and Conflict Resolution in LLM-Based Multi-Agent Frameworks,2026,Research Square,OA_q34
S1608,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),When Multi-Agent LLM Pipelines Help or Hurt: Evidence from Git Merge Conflict Resolution Study Results,2026,Zenodo (CERN European Organization for Nuclear Research),OA_q34
S1615,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Lightweight graph retrieval-augmented generation agent for safety monitoring digital twins in small- and medium-scale hydropower projects,2026,Automation in Construction,OA_q34|SCOPUS_S2
S1616,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Expanding GPT-RadPlan: An Agentic Framework for Fully Automated and Adaptive Radiotherapy Treatment Planning,2025,International Journal of Radiation Oncology*Biology*Physics,OA_q34
S1622,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),The ghost of behaviorism: critical reflections on methodological limitations in the research of large language models psychology,2026,Cognitive Systems Research,OA_q34
S1637,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Beyond More Agents: A Survey of Collaboration Mechanisms in Multi-Agent LLM Systems,2026,SSRN Electronic Journal,OA_q34
S1646,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),When Talk is not Cheap: Communication and Agency Problems in LLM Agents,2026,SSRN Electronic Journal,OA_q34
S1685,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),ChatAssistDesign: A language-interactive framework for iterative vector floorplan generation via conditional diffusion,2025,Information Fusion,OA_q34
S1689,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),NegLLM: Enhancing Strategic LLM Negotiation Agents with Case-Based Reasoning,2026,Lecture notes in computer science,OA_q34
S1703,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),Effective and Efficient Role-Playing LLM Agent via Pruning Knowledge,2026,Lecture notes in computer science,OA_q34|SCOPUS_S2
S1720,no,,no,,yes,LLM-assisted keymorph analysis of grammatical case in RT’s Israeli–Palestinian conflict coverage,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),LLM-assisted keymorph analysis of grammatical case in RT’s Israeli–Palestinian conflict coverage,2026,Russian Linguistics,OA_q34
S1730,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Towards higher quality and fewer hallucinations: A multi-agent collaboration framework for LLMs,2026,Information Processing & Management,OA_q34|SCOPUS_S2
S1734,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Multi-Agent LLM Collaborative Reasoning and Task Planning for Complex Task Solving,2026,SSRN Electronic Journal,OA_q34
S1738,no,,unsure,LLM-empowered multi-agent intelligent planning,no,PV-EV penetrated distribution networks,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),LLM-empowered multi-agent intelligent planning for PV-EV penetrated distribution networks,2026,Applied Energy,OA_q34
S1741,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Mitigating Cognitive Burden in Water Network Management with LLM-Based Conversational Agents,2026,Lecture notes in business information processing,OA_q34
S1742,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,"partial_BC_PENDING (q2 and q3 are unsure, q1 is no/unsure)",JusticeFact: LLM-driven multi-agent court adjudication for explainable multi-domain misinformation detection,2026,Knowledge-Based Systems,OA_q34
S1755,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),An LLM-Agentic Workflow for Data-Driven Modeling: From Image Reconstruction to Thermodynamic Modeling,2026,Research Square,OA_q34
S1771,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Data-Driven Meets Knowledge-Driven: An LLM‐Agent Framework for Quality Control in Metal Additive Manufacturing,2026,SSRN Electronic Journal,OA_q34
S1785,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),CRL-TIKG: Causal Reinforcement Learning-Based Threat Intelligence Knowledge Graph Reasoning,2025,Communications in computer and information science,OA_q34
S1800,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),From Conflict to Consensus: Agent-Based Modeling for Collective Decision-Making in China's Rural Land Management,2024,SSRN Electronic Journal,OA_q34
S1818,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Multi-stakeholder Alignment in LLM-Powered Collaborative AI Systems: A Multi-agent Framework for Intelligent Tutoring,2026,Communications in computer and information science,OA_q34
S1821,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Next-Generation Intent-Based Networking in B5G with LLMs and Explainable AI,2025,,OA_q34
S1852,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),From Moderation to Mediation: Can LLMs Serve as Mediators in Online Flame Wars?,2026,Lecture notes in computer science,OA_q34
S1860,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),Embedding Relational Philosophy in Socio-Hydrology: An ABM-LLM Prototype of Hydrosocial Territories and Compensation Dynamics,2025,Research Square,OA_q34
S1903,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),AI Control Through Causal Agents,2026,Lecture notes on data engineering and communications technologies,OA_q34
S1908,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Negotiating the Small Stuff: AI Agents for Low-Stakes Group Decisions,2026,Lecture notes in business information processing,OA_q34
S1933,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),Are we Better Off Interacting with Humans or AI in Conflict and Coordination Settings? *,2026,SSRN Electronic Journal,OA_q34
S1936,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,"partial_BC_PENDING (q2 and q3 are unsure, q1 is no/unsure)",SkillGraph: Dependency-Aware Retrieval for Compositional Agent Skills,2026,SSRN Electronic Journal,OA_q34
S1942,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 unsure, q1 no/unsure)",COA-MAS Cognitive Organizational Architecture for Multi-Agent Systems,2026,SSRN Electronic Journal,OA_q34
S1953,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING: q2 and q3 are unsure, q1 is no/unsure",MedAgentNet: Federated Multi-Agent AI for Privacy-Preserving Cross-Departmental Clinical Intelligence,2026,SSRN Electronic Journal,OA_q34
S1958,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Multi-agent Dialectical Refinement for Enhanced Argument Classification,2026,Lecture notes in computer science,OA_q34
S1977,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Fundamental Limits of Runtime Policy Enforcement in Multi-agent AGI Systems,2026,Lecture notes in computer science,OA_q34|SCOPUS_S2
S1988,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),A computational approach to screenplay structure via multi-agent systems,2026,Entertainment Computing,OA_q34
S2007,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Large Language Model-Driven Multi-agent Collaborative Framework for Chinese Grammatical Error Correction,2025,Communications in computer and information science,OA_q34
S2016,no,,yes,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Emergent Neutrality: A Multi-Agent Debate Framework for Mitigating Bias in Large Language Models,2026,Lecture notes in computer science,OA_q34
S2026,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),"Agentic AI and Cybersecurity: Threats, Defenses, and Open Problems",2026,Studies in computational intelligence,OA_q34
S2039,unsure,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),From Noisy Feedback to Trustworthy IssueSpecifications: An Agent-GovernedRetrieval-Augmented Generation Approach,2026,Research Square,OA_q34
S2049,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),From text to slot: a multi-agent framework for terminal-oriented container stowage planning via large language models,2026,Artificial Intelligence for Transportation,OA_q34
S2058,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Can We Trust Cyber Defence Agents? TrustOps for Evidence Grounded Security Operations,2026,SSRN Electronic Journal,OA_q34
S2060,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Architecting the Geopolitical Sandbox: Heterogeneous Multi-Agent Pipelines for Simulating Geopolitical Crisis,2026,Research Square,OA_q34
S2061,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Presenting Issues in Employee Assistance Programmes: Towards an LLM-Based Support Tool for Counsellor Support and Assistance,2026,Lecture notes in computer science,OA_q34
S2067,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),AI-Mediated E-Negotiation in Knowledge-Based Organizations: Integrating Language-Based Generative Mediation and Intelligent Human Resource Architecture for Conflict Resolution and Group Decision Efficiency,2025,SSRN Electronic Journal,OA_q34
S2080,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Exploration of Key Technologies for Collaborative Design of Multi-Agent Large and Small Models in Textile Equipment,2025,SSRN Electronic Journal,OA_q34
S2082,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Assistance to Autonomy: A Systematic Literature Review of Agentic AI Across the Software Development Life Cycle,2026,Lecture notes in computer science,OA_q34
S2087,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),A-NSGA-II: an agentic-guided evolutionary framework for multi-objective optimization with application to closed-loop EV supply chains,2026,Computers & Industrial Engineering,OA_q34
S2096,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),A multi-agent large language model-based group consensus evaluation system for identifying technological innovation opportunities,2026,Computers & Industrial Engineering,OA_q34
S2105,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Agentic AI for Knowledge-Driven Hull-Form Design in High-Speed Autonomous Surface Vessels,2026,SSRN Electronic Journal,OA_q34
S2109,unsure,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Synthetic Ethical Dialectics Engine (SEDE): An Integrated Approach to AI Governance and Ethical Decision-Making in a Multi-Agent System,2026,SSRN Electronic Journal,OA_q34
S2110,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Agentic Chunking and Bayesian De-chunking of AI Generated Fuzzy Cognitive Maps: A Model of the Thucydides Trap,2026,IFIP advances in information and communication technology,OA_q34
