stage_id,h2_q1,h2_q1_ev,h2_q2,h2_q2_ev,h2_q3,h2_q3_ev,q1_agree,q2_agree,q3_agree,pass2_used,h2_status
S2721,unsure,,unsure,,no,"A STROBE-guided benchmark of GPT-4, GPT-5, and Gemini for non-operative acute appendicitis management",,,,False,STILL_UNSURE
S2731,unsure,,unsure,,yes,A Virtual Assistant for Enhanced Decision-Making in Disaster Response,,,,False,STILL_UNSURE
S2734,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2736,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2738,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2754,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2764,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2775,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2781,unsure,,unsure,,no,routine hospital EHR / electronic medical-record triage systems,,,,False,STILL_UNSURE
S2784,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2808,unsure,,unsure,,yes,detecting veracity of disaster rescue requests under early-stage data scarcity,,,,False,STILL_UNSURE
S2810,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2863,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2865,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2873,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2877,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2895,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2902,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2909,unsure,,unsure,,no,routine hospital EHR / electronic medical-record triage systems,,,,False,STILL_UNSURE
S2911,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2913,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S2957,yes,Squat: Quant Small Language Models on the Edge,no,,no,,True,True,True,True,RESOLVED
S2993,yes,Large language models (LLMs) have transformed natural language processing,yes,"Distributed Split Speculative Decoding (DSSD), a novel architecture",unsure,,,,,False,STILL_UNSURE
S2999,yes,"This work proposes a framework to experimentally evaluate small, open LMs in practical settings.",unsure,,unsure,,,,,False,STILL_UNSURE
S3034,yes,This paper presents a systematic empirical study of the scaling behavior and deployment efficiency of compact language models for network-level semantic reasoning in AI-native 6G systems.,unsure,,no,This paper presents a systematic empirical study of the scaling behavior and deployment efficiency of compact language models for network-level semantic reasoning in AI-native 6G systems.,,,,False,STILL_UNSURE
S3110,yes,"introduces RAPTOR-AI, an agentic multimodal Retrieval-Augmented Generation (RAG) framework",yes,"introduces RAPTOR-AI, an agentic multimodal Retrieval-Augmented Generation (RAG) framework",yes,Humanitarian Assistance and Disaster Relief (HADR) operations demand rapid synthesis of multimodal information for time-critical decision-making under extreme uncertainty,True,True,True,True,RESOLVED
S3119,yes,This paper presents a novel approach for unified retrieval-augmented generation (RAG) systems using the recent emerging large language model (LLM) agent concept.,yes,we propose a trainable agent framework called Agent-UniRAG for unified retrieval-augmented LLM systems,unsure,,,,,False,STILL_UNSURE
S3233,yes,Reinforcement Learning has emerged as a dominant post-training approach to elicit agentic RAG behaviors such as search and planning from language models.,yes,Reinforcement Learning has emerged as a dominant post-training approach to elicit agentic RAG behaviors such as search and planning from language models.,unsure,,,,,False,STILL_UNSURE
S3371,yes,FoRAG: Factuality-optimized Retrieval Augmented Generation for Web-enhanced Long-form Question Answering,yes,Factuality-optimized RAG (FoRAG) method on both English and Chinese benchmarks,no,Factuality-optimized RAG (FoRAG) method on both English and Chinese benchmarks,True,True,True,True,RESOLVED
S3496,yes,"SafeMate, a retrieval-augmented AI assistant",yes,"SafeMate, a retrieval-augmented AI assistant that delivers accurate, context-aware guidance",yes,"delivering accurate, context-aware guidance to general users in both preparedness and active emergency scenarios",True,True,True,True,RESOLVED
S3503,unsure,,unsure,,yes,Natural disasters always have several effects on human lives.,,,,False,STILL_UNSURE
S3510,yes,Recent advances in Vision Language Models (VLMs) have created new opportunities for disaster response,yes,This study explores the viability of embedding VLMs as coordination agents within the human-UAV loop,yes,This study explores the viability of embedding VLMs as coordination agents within the human-UAV loop,True,True,True,True,RESOLVED
S3572,yes,The emergence of Large Language Models (LLMs) has significantly advanced natural language processing,yes,integrating an intelligent information assistant within LLMs,unsure,,,,,False,STILL_UNSURE
S3605,yes,implementing them on-device has become essential for privacy and responsiveness,yes,"We propose EPIC (Efficient Preference-aligned Index Construction), which focuses on user preferences as a compact and stable form of personal context and integrates them throughout the RAG pipeline",unsure,,,,,False,STILL_UNSURE
S4013,yes,"agents that interpret imagery, connect it with language, and execute structured analytical tasks",yes,a unified framework for tool-augmented geospatial reasoning,unsure,"disaster, and infrastructure domains",,,,False,STILL_UNSURE
S4299,yes,"The system combines vision-language models, traditional remote sensing analysis tools, and role-specialized agents",yes,This work proposes a hierarchical multi-agent architecture for onboard EO processing,yes,supporting disaster response,True,True,True,True,RESOLVED
S4931,yes,Retrieval-Augmented Large Language Models (LLMs),yes,Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity,unsure,,,,,False,STILL_UNSURE
S10095,yes,SLMQuant:Benchmarking Small Language Model Quantization for Practical Deployment,no,,no,,True,True,True,True,RESOLVED
S10113,yes,"In this paper, we lay down the foundation for LLM quantization",no,,no,,True,True,True,True,RESOLVED
S10116,yes,This paper proposes a principle to leverage human priors for data construction in Small Language Models (SLMs).,no,,no,,True,True,True,True,RESOLVED
S10146,yes,Quantized large language models (LLMs) have gained increasing attention and significance,no,,no,,True,True,True,True,RESOLVED
S10151,yes,developing efficient Small Language Models (SLMs) and Multimodal Small Language Models (MSLMs),no,,no,,True,True,True,True,RESOLVED
S10174,yes,Given the exceptional performance of proprietary large language models (LLMs) like GPT-4,no,,no,,True,True,True,True,RESOLVED
S10182,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S10212,yes,Knowledge distillation (KD) is an effective model compression method that can transfer the internal capabilities of large language models (LLMs) to smaller ones.,no,,no,,True,True,True,True,RESOLVED
S10220,unsure,,unsure,,no,Large language model inference is often bounded by memory footprint and bandwidth in resource-constrained deployments,,,,False,STILL_UNSURE
S10229,yes,"Luth, a family of French-specialized SLMs",no,,no,,True,True,True,True,RESOLVED
S10249,yes,"FutureMind, a modular reasoning framework that equips SLMs with strategic thinking-pattern priors via adaptive knowledge distillation from large language models (LLMs).",unsure,,unsure,,,,,False,STILL_UNSURE
S10257,yes,"Small language models (SLMs), despite their widespread adoption in modern smart devices",unsure,,unsure,,,,,False,STILL_UNSURE
S10266,yes,Deploying large language models (LLMs) in resource-constrained environments is hindered by heavy computational and memory requirements.,no,,no,,True,True,True,True,RESOLVED
S10269,yes,Small Language models (SLMs) offer an efficient and accessible alternative to Large Language Models (LLMs),no,,no,,True,True,True,True,RESOLVED
S10276,yes,the compression of large language models (LLMs),no,,no,,True,True,True,True,RESOLVED
S10278,yes,"Building upon the foundational work of Professor Song Han's lab at MIT, this paper introduces a novel approach in developing Mini-GPTs via contextual pruning.",no,,no,,True,True,True,True,RESOLVED
S10291,yes,Large Language Models (LLMs) enable advanced natural language processing,no,,no,,True,True,True,True,RESOLVED
S10371,yes,QUICK... efficient inference of quantized Large Language Models (LLMs).,no,,no,,True,True,True,True,RESOLVED
S10373,yes,Large Language Models (LLMs) excel in diverse applications but suffer inefficiency due to massive scale.,no,,no,,True,True,True,True,RESOLVED
S10391,yes,Multimodal Small Language Models (MSLMs),unsure,,unsure,,,,,False,STILL_UNSURE
S10392,yes,Large language models (LLMs) offer strong capabilities but raise cost and privacy concerns,yes,an SLM learns to proactively decide how to request an LLM during multi-step reasoning,unsure,,,,,False,STILL_UNSURE
S10418,yes,"MiniCPM, specifically the 1.2B and 2.4B non-embedding parameter variants",no,,no,,True,True,True,True,RESOLVED
S10435,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S10444,yes,QEFT accelerates both inference and fine-tuning of LLMs.,no,,no,,True,True,True,True,RESOLVED
S10508,yes,Language model compression through knowledge distillation,unsure,,unsure,,,,,False,STILL_UNSURE
S10515,yes,"EffGen, an open-source agentic framework optimized for small language models (SLMs)",yes,"EffGen, an open-source agentic framework optimized for small language models (SLMs)",unsure,,,,,False,STILL_UNSURE
S10568,yes,"This paper introduces BitDistiller, a framework that synergizes Quantization-Aware Training (QAT) with Knowledge Distillation (KD) to boost the performance of LLMs",no,,no,,True,True,True,True,RESOLVED
S10717,yes,The rapid advancement of large language models (LLMs) has significantly advanced the capabilities of artificial intelligence across various domains.,no,,no,,True,True,True,True,RESOLVED
S10799,yes,"We present TernaryLM, a 132M-parameter transformer trained natively with ternary quantization",no,,no,,True,True,True,True,RESOLVED
S10825,yes,"BlueLM-V-3B, an algorithm and system co-design approach specifically tailored for the efficient deployment of MLLMs on mobile platforms.",no,,no,,True,True,True,True,RESOLVED
S10833,yes,Deploying large language models (LLMs) on mobile platforms faces significant challenges,no,,no,,True,True,True,True,RESOLVED
S10862,yes,Quantization of Large Language Models (LLMs) has recently gained popularity,no,,no,,True,True,True,True,RESOLVED
S10958,yes,LLMs have shown surprising performance in task-specific workloads as well as general tasks,no,,no,,True,True,True,True,RESOLVED
S11006,yes,"LLMs, Large Language Models (LLMs)",no,,no,,True,True,True,True,RESOLVED
S11009,no,,no,,no,,True,True,True,True,RESOLVED
S11044,yes,proposes Convolutional Code Quantization (CCQ) for compressing LLMs,no,,no,,True,True,True,True,RESOLVED
S11076,yes,This paper proposes an adaptive mixed precision quantization mechanism for edge deployment of LLMs.,no,,no,,True,True,True,True,RESOLVED
S11099,yes,LLMs has attracted increasing attentions recently in reducing memory costs and improving computational efficiency.,no,,no,,True,True,True,True,RESOLVED
S11138,yes,We propose a memory-efficient finetuning algorithm for large language models (LLMs),no,,no,,True,True,True,True,RESOLVED
S11205,yes,"Small Language Models (SLMs, or on-device LMs) have significantly fewer parameters than Large Language Models (LLMs).",no,,no,,True,True,True,True,RESOLVED
S11404,yes,This paper explores the design of accurate yet efficient Small Language Models (SLMs) for resource-constrained devices.,no,,no,,True,True,True,True,RESOLVED
S11479,yes,Deploying Large Language Models (LLMs) on resource-constrained edge devices like the Raspberry Pi,no,,no,,True,False,False,True,STILL_UNSURE
S11521,yes,This paper investigates the pretraining of low-bitwidth models specifically Ternary Language Models (TriLMs),no,,no,,True,True,True,True,RESOLVED
S11535,yes,"Making large language models (LLMs) more efficient in memory, latency, and serving cost",no,,no,,True,True,True,True,RESOLVED
S11576,yes,Large Language Models (LLMs) fine-tuning technologies have achieved remarkable results.,no,,no,,True,True,True,True,RESOLVED
S11778,yes,LLMs showcase groundbreaking capabilities across diverse applications,no,,no,,True,True,True,True,RESOLVED
S11929,yes,LLMs offer remarkable capabilities in natural language understanding and generation,no,,no,,True,True,True,True,RESOLVED
S12193,yes,Large Language Models (LLMs) have demonstrated remarkable capabilities across a range of Natural Language Processing (NLP) tasks,no,,no,,True,True,True,True,RESOLVED
